,Name,Price,Rating,Link
40,"Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop (14 inch, Cosmic Blue, 1.24 kg)","30,990",0.0 out of 5 stars,https://www.amazon.in/Infinix-Slim-Core-10th-Gen/dp/B0BLC252P7/ref=sr_1_41?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-41
41,"(Renewed) Lenovo ThinkPad T470 intel 6th Gen Core i5 Laptop, 8 GB RAM, 256GB SSD, 14 inch (36.83 cms), Windows 11 (Upgraded), MS Office, Black","20,999",3.8 out of 5 stars,https://www.amazon.in/Renewed-Lenovo-ThinkPad-T470-Upgraded/dp/B09RFWMS47/ref=sr_1_42?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-42
42,"(Renewed) HP ProBook Intel 6th Gen Core i5 14 inches FHD Screen Laptop (8GB RAM, 256GB SSD, HD Graphics, Windows 11 (Upgraded), MS Office, Black, Slim)","18,924",2.9 out of 5 stars,https://www.amazon.in/Renewed-HP-ProBook-Graphics-Upgraded/dp/B09NGMBZGB/ref=sr_1_43?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-43
43,"(Renewed) HP ProBook 430 G3 6th Gen Intel Core i7 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/13.3"" (33.8 cm)/Windows 11/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)","23,999",3.3 out of 5 stars,https://www.amazon.in/HP-ProBook-Bluetooth-Integrated-Graphics/dp/B09V87RG9H/ref=sr_1_44?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-44
44,"(Renewed) Lenovo Thinkpad L450 5th Gen Intel Core i5 HD Laptop (16 GB RAM/512 GB SSD/14"" (35.6 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)","22,997",3.5 out of 5 stars,https://www.amazon.in/Renewed-Lenovo-Thinkpad-Bluetooth-Graphics/dp/B0B3HWHTH7/ref=sr_1_45?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-45
45,"HP Chromebook 11a, MediaTek MT8183 Processor 11.6 inch(29.5 cm) Thin and Light Touchscreen Laptop (4 GB RAM/64 GB eMMC/ Chrome OS /Fast Charge/Google Assistant/Indigo Blue/1.07Kg), na0002MU, 1.07Kg","19,313",3.9 out of 5 stars,https://www.amazon.in/HP-Chromebook-11-6-inch-Touchscreen-11a-na0002MU/dp/B08WPNPTDD/ref=sr_1_46?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-46
46,Acer One 14 Z2-493 (UN.431SI.129) Laptop (AMD Ryzen 3-3250U/ 8GB RAM/ 1TB HDD/ Windows 11 PRO with MS-Office with Lifetime Validity/ 14 Inch/ 3 Years Warranty) Silver,"29,999",2.0 out of 5 stars,https://www.amazon.in/Acer-431SI-129-MS-Office-Lifetime-Validity/dp/B0BLHT7THG/ref=sr_1_47?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-47
47,HP 245 G8 Notebook PC 14 Inch HD 62G68PA ( AMD Ryzen R3 /8 GB RAM / 1TB / Windows 11/ AMD Radeon™ Graphics),"29,400",0.0 out of 5 stars,https://www.amazon.in/HP-Notebook-62G68PA-RadeonTM-Graphics/dp/B0BHP9WBLZ/ref=sr_1_48?keywords=laptop&qid=1669651800&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-48
48,"Lenovo ThinkPad E15 Intel Core i3 11th Gen 15.6-inch (39.62 cm) FHD Antiglare Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office H&S 2021/FPR/Black/1.7 kg), 20TDS0T200","46,990",4.1 out of 5 stars,https://www.amazon.in/Lenovo-ThinkPad-15-6-inch-Antiglare-20TDS0T200/dp/B09K5STXTW/ref=sr_1_49?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-49
49,Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor - (8 GB/ 512 GB SSD/ Windows 11 Home/ 1.7kg/ Black/ Elevated Hinge Design) EX215-54 with 39.6 cm (15.6 inches) FHD Display,"34,829",4.0 out of 5 stars,https://www.amazon.in/Acer-Extensa-Lightweight-Laptop-Processor/dp/B0B5ZN13GV/ref=sr_1_50?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-50
50,"Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop (14 inch, Noble Red, 1.24 kg)","30,490",0.0 out of 5 stars,https://www.amazon.in/Infinix-Slim-Core-10th-Gen/dp/B0BLT7GPTL/ref=sr_1_51?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-51
51,"ASUS VivoBook 14 (2022) Ryzen 7 Quad Core AMD R7-3700U - (16 GB/512 GB SSD/Windows 11 Home) M415DA-EB512WS Thin and Light Laptop (14 inch, Transparent Silver, 1.60 kg, with MS Office)","47,490",0.0 out of 5 stars,https://www.amazon.in/ASUS-VivoBook-Ryzen-Quad-R7-3700U/dp/B0BMGP6FJG/ref=sr_1_52?keywords=laptop&qid=1669651801&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&sr=8-52
